id,Nome do Filme,Ano de Lancamento,Decada do Filme,Duracao,Lancamento,Classificao do Filme,Publico Alvo,Diretor,Estrela,Genero,Tematica,Pais de Origem,Produtora,Idioma,Indicado a Premiações de Cinema,Nota
tt2165735,Drug War,2012,2010,1h 47m,Cinema,+16,Jovens,Outros,Outros,Ação,Crime,China,Outros,Mandarim,28,7.0
tt2005153,Backwards,2012,2010,1h 29m,Cinema,+10,Família,Outros,James Van Der Beek,Outros,Romance,Estados Unidos,Outros,Inglês,0,5.6
tt0857190,The Sweeney,2012,2010,1h 52m,Cinema,+16,Jovens,Outros,Ray Winstone,Ação,Crime,Reino Unido,Vertigo Films,Inglês,0,6.1
tt5013056,Dunkirk,2017,2010,1h 46m,Cinema,+12,Família,Christopher Nolan,Mark Rylance,Épico de Ação,Épico,Reino Unido,Syncopy,Inglês,236,7.8
tt5805752,Brigsby Bear,2017,2010,1h 37m,Cinema,+12,Família,Outros,Jorge Lendeborg Jr,Comédia,Drama,Estados Unidos,3311 Productions,Inglês,11,7.3
tt1488555,The Change-Up,2011,2010,1h 52m,Cinema,+16,Jovens,David Dobkin,Jason Bateman,Comédia de Troca de Corpos,Comédia,Estados Unidos,Universal Pictures,Inglês,0,6.3
tt1506999,Haywire,2011,2010,1h 33m,Cinema,+16,Jovens,Steven Soderbergh,Ewan McGregor,Gun Fu,Ação,Irlanda,Relativity Media,Inglês,0,5.8
tt2025526,War of the Arrows,2011,2010,2h 2m,Cinema,+16,Jovens,Outros,Outros,Ação,Indefinido,Coreia do Sul,Outros,Coreano,15,7.1
tt1628055,Touchback,2011,2010,1h 58m,Cinema,+12,Família,Outros,Kurt Russell,Futebol,Drama,Estados Unidos,Outros,Inglês,0,6.5
tt1535110,When Harry Tries to Marry,2011,2010,1h 33m,Cinema,+12,Família,Outros,Outros,Comédia,Romance,Estados Unidos,Outros,Inglês,0,4.6
tt1605803,The Last Ride,2011,2010,1h 42m,Cinema,+12,Família,Outros,Henry Thomas,Biografia,Drama,Estados Unidos,Outros,Inglês,0,5.8
tt0087425,Hot Dog... The Movie,1983,1980,1h 36m,Cinema,+16,Jovens,Peter Markle,David Naughton,Comédia,Romance,Estados Unidos,Outros,Inglês,0,5.1
tt0086379,Stroker Ace,1983,1980,1h 36m,Cinema,+10,Família,Hal Needham,Burt Reynolds,Esporte a Motor,Ação,Estados Unidos,Universal Pictures,Inglês,4,4.9
tt0085862,Lone Wolf McQuade,1983,1980,1h 47m,Cinema,+10,Família,Steve Carver,Chuck Norris,Faroeste Contemporâneo,Comédia Sombria,Estados Unidos,Cinema 84,Inglês,0,6.3
